Section,Type,Content
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"150 OLD FRONT ROAD, LaSalle, Ontario"
Listings,Price,"$259,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"V/L OLCOTT, LaSalle, Ontario"
Listings,Price,"$249,900 "
Listings,Address,"484 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$945,000 "
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"484 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$945,000 "
Listings,Address,"977 MARENTETTE, Windsor, Ontario"
Listings,Price,"$699,900 "
Listings,Address,"3850 DOUGALL AVENUE, Windsor, Ontario"
Listings,Price,"$125,000 "
Listings,Address,"304 ELLIOTT STREET West, Windsor, Ontario"
Listings,Price,"$149,900 "
Listings,Address,"2015 BALFOUR BOULEVARD, Windsor, Ontario"
Listings,Price,"$999,750 "
Listings,Address,"1311 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$98,000 "
Listings,Address,"1379-1381 PIERRE Avenue, Windsor, Ontario"
Listings,Price,"$799,900 "
Listings,Address,"3905 TECUMSEH ROAD E, Windsor, Ontario"
Listings,Price,"$1,699,000 "
Listings,Address,"5929-39 WYANDOTTE, Windsor, Ontario"
Listings,Price,"$1,299,900 "
Listings,Address,"762 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"754 South Pacific AVENUE, Windsor, Ontario"
Listings,Price,"$199,900 "
Listings,Address,"365 PELISSIER STREET, Windsor, Ontario"
Listings,Price,"$349,900 "
Listings,Address,"1661 OTTAWA STREET, Windsor, Ontario"
Listings,Price,"$639,900 "
