Price,Address,Details,URL,Image File
"$729,000","105 - 293 THE KINSWAY WAY, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/105-293-the-kinsway-way-wp_idm73000004-26983113-lst,images/105___293_THE_KINSWAY_WAY__Toronto__ON.jpg
"$2,150","208 - 205 KEELE STREET, Toronto, ON",1 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/208-205-keele-street-wp_idm73000004-26983109-lst,images/208___205_KEELE_STREET__Toronto__ON.jpg
"$1,049,000","395 SCARBOROUGH ROAD, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/395-scarborough-road-wp_idm73000004-26983073-lst,images/395_SCARBOROUGH_ROAD__Toronto__ON.jpg
"$1,999,000","22 INNISMORE CRESCENT, Toronto, ON",4 bed 5 bath,https://www.remax.ca/on/toronto-real-estate/22-innismore-crescent-wp_idm73000004-26983065-lst,images/22_INNISMORE_CRESCENT__Toronto__ON.jpg
"$1,100,000","2912 - 300 FRONT STREET W, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/2912-300-front-street-w-wp_idm73000004-26983059-lst,images/2912___300_FRONT_STREET_W__Toronto__ON.jpg
"$3,299,900","PH1034 - 55 STEWART STREET, Toronto, ON",2 bed 3 bath,https://www.remax.ca/on/toronto-real-estate/ph1034-55-stewart-street-wp_idm73000004-26983051-lst,images/PH1034___55_STEWART_STREET__Toronto__ON.jpg
"$888,000","171 CEDRIC AVENUE, Toronto, ON",n/a bed 0 bath,https://www.remax.ca/on/toronto-real-estate/171-cedric-avenue-wp_idm73000004-26983054-lst,images/171_CEDRIC_AVENUE__Toronto__ON.jpg
"$899,000","917 LANSDOWNE AVENUE, Toronto, ON",3 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/917-lansdowne-avenue-wp_idm73000004-26982692-lst,images/917_LANSDOWNE_AVENUE__Toronto__ON.jpg
"$1,350,000","23 MELODY ROAD, Toronto, ON",5 bed 4 bath,https://www.remax.ca/on/toronto-real-estate/23-melody-road-wp_idm73000004-26982688-lst,images/23_MELODY_ROAD__Toronto__ON.jpg
"$494,900","1001 - 200 LOTHERTON PATHWAY, Toronto, ON",3 bed 1 bath,https://www.remax.ca/on/toronto-real-estate/1001-200-lotherton-pathway-wp_idm73000004-26982693-lst,images/1001___200_LOTHERTON_PATHWAY__Toronto__ON.jpg
"$1,099,000","PH2901 - 205 WYNFORD DRIVE, Toronto, ON",2 bed 2 bath,https://www.remax.ca/on/toronto-real-estate/ph2901-205-wynford-drive-wp_idm73000004-26982608-lst,images/PH2901___205_WYNFORD_DRIVE__Toronto__ON.jpg
