Price,Address,Location,Type,Listing
"$999,750
2015 Balfour Boulevard
Windsor, ON
Save
View",2015 Balfour Boulevard,"Windsor, ON",Commercial,NEW LISTING
"$698,000
3220 Everts Avenue
Windsor, ON
Save
View
?",3220 Everts Avenue,"Windsor, ON","House 5 bds , 2 bths",NEW LISTING
"$629,900
3803 Byng Road
Windsor, ON
Save
View
?",3803 Byng Road,"Windsor, ON","House 3 bds , 2 bths",NEW LISTING
"$599,000
3135 Academy Drive
Windsor, ON
Save
View
?",3135 Academy Drive,"Windsor, ON","House 6 bds , 3 bths",NEW LISTING
"$430,000
1102 Wellington Avenue
Windsor, ON
Save
View
?",1102 Wellington Avenue,"Windsor, ON","House 4 bds , 2 bths",NEW LISTING
"$420,000
1547 Grand Marais West Unit# 403
Windsor, ON
Save
View
?",1547 Grand Marais West Unit# 403,"Windsor, ON","Condo 2 bds , 2 bths",NEW LISTING
"$329,900
1639 Balfour Boulevard
Windsor, ON
Save
View
?",1639 Balfour Boulevard,"Windsor, ON","House 3 bds , 1 bath",NEW LISTING
"$299,900
1075 Ellis Street East
Windsor, ON
Save
View
?",1075 Ellis Street East,"Windsor, ON","House 2 bds , 1 bath",NEW LISTING
"$289,900
1705 Westcott
Windsor, ON
Save
View
?",1705 Westcott,"Windsor, ON","House 2 bds , 1 bath",NEW LISTING
"$98,000
1311 Ottawa Street
Windsor, ON
Save
View
?",1311 Ottawa Street,"Windsor, ON",Commercial,NEW LISTING
"$1,569,900
529 Orchards Crescent
Windsor, ON
Save
View
?",529 Orchards Crescent,"Windsor, ON","House 5 bds , 3 bths",NEW LISTING
"$1,299,900
5929-39 Wyandotte
Windsor, ON
Save
View
?",5929-39 Wyandotte,"Windsor, ON",Investment,NEW LISTING
"$799,900
1379-1381 Pierre Avenue
Windsor, ON
Save
View
?",1379-1381 Pierre Avenue,"Windsor, ON",Investment,NEW LISTING
"$789,900
2545 Labelle Street
Windsor, ON
Save
View
?",2545 Labelle Street,"Windsor, ON","House 4 bds , 4 bths",NEW LISTING
"$789,000
2920 Northway Avenue
Windsor, ON
Save
View
?",2920 Northway Avenue,"Windsor, ON","House 4 bds , 4 bths",NEW LISTING
"$699,000
5151 Riverside Drive East Unit# 1004
Windsor, ON
Save
View
?",5151 Riverside Drive East Unit# 1004,"Windsor, ON","Condo 2 bds , 2 bths",NEW LISTING
"$599,900
3217 Woodlawn Avenue
Windsor, ON
Save
View
?",3217 Woodlawn Avenue,"Windsor, ON","House 5 bds , 2 bths",NEW LISTING
"$579,900
11081 Scenic
Windsor, ON
Save
View
?",11081 Scenic,"Windsor, ON","House 3 bds , 3 bths",NEW LISTING
"$549,900
1215 Labadie
Windsor, ON
Save
View
?",1215 Labadie,"Windsor, ON","House 4 bds , 3 bths",NEW LISTING
"$535,000
11805 Boulder Crescent
Windsor, ON
Save
View
?",11805 Boulder Crescent,"Windsor, ON","House 3 bds , 2 bths",OPEN HOUSE
"$499,900
915 Villaire
Windsor, ON
Save
View
?",915 Villaire,"Windsor, ON","House 3 bds , 2 bths",NEW LISTING
"$449,900
380 Pelissier Unit# 905
Windsor, ON
Save
View
?",380 Pelissier Unit# 905,"Windsor, ON","Condo 2 bds , 2 bths",NEW LISTING
"$449,514
3320 Stella Unit# 514
Windsor, ON
Save
View
?",3320 Stella Unit# 514,"Windsor, ON","Condo 2 bds , 2 bths",NEW LISTING
"$399,900
1889 Ellrose
Windsor, ON
Save
View
?",1889 Ellrose,"Windsor, ON","House 2 bds , 2 bths",NEW LISTING
"$399,900
206-5955 Ontario Street
Windsor, ON
Save
View
?",206-5955 Ontario Street,"Windsor, ON","Condo 2 bds , 2 bths",NEW LISTING
"$389,900
883 Monmouth
Windsor, ON
Save
View
?",883 Monmouth,"Windsor, ON","House 2 bds , 2 bths",NEW LISTING
"$349,900
365 Pelissier Street
Windsor, ON
Save
View
?",365 Pelissier Street,"Windsor, ON",Condo,NEW LISTING
"$349,900
365 Pelissier Street
Windsor, ON
Save
View
?",365 Pelissier Street,"Windsor, ON",Commercial,NEW LISTING
